directory,purpose,file_count,total_size_bytes,tracked_count,ignored_count,canonical,active,historical,publication_relevant,duplication_risk,recommended_future_action,notes
docs/coap_topological_extraction_audit_20260611/paper_coap_pre_topo_audit_backup,supporting,10,107519,0,10,partial,yes,no,yes,low,retain,
docs/final_branch_audit_20260611,supporting,25,150752,22,3,partial,yes,no,no,low,retain,
docs/final_coap_adversarial_audit_20260612,supporting,21,57876,21,0,partial,yes,no,no,low,retain,
docs/final_coap_adversarial_audit_20260612/logs,supporting,5,63737,5,0,partial,yes,no,no,low,retain,
docs/full_branch_repository_audit_20260612,supporting,6,69788,0,6,partial,yes,no,no,low,retain,
docs/full_branch_repository_audit_20260612/logs,supporting,1,1298,0,1,partial,yes,no,no,low,retain,
docs/full_repository_audit_20260610,supporting,38,256288,33,5,partial,yes,no,no,low,retain,
docs/provenance,supporting,3,6133,3,0,partial,yes,no,no,low,retain,
experiments,supporting,1,6476,1,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_holdout/checkpoints/runs,experiment,1290,1080457,1290,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_holdout/config,experiment,4,8212,4,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_holdout/results,experiment,2,1653130,2,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_holdout/tmp_rankings,experiment,1290,23982990,0,1290,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_sensitivity/checkpoints/runs,experiment,140,96928,140,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_sensitivity/config,experiment,2,2356,2,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_sensitivity/results,experiment,2,154071,2,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_sensitivity/summary,experiment,5,237841,5,0,partial,yes,no,yes,low,retain,
experiments/coap_ipsns_sensitivity/tmp_rankings,experiment,140,224826,0,140,partial,yes,no,yes,low,retain,
experiments/combined,experiment,1,27477,1,0,partial,yes,no,yes,low,retain,
experiments/combined/summary,experiment,2,12682,2,0,partial,yes,no,yes,low,retain,
experiments/combined/tables,experiment,5,3095,5,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/checkpoints,experiment,3720,18600,3720,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/config,experiment,4,10568,4,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/figures,experiment,14,412428,14,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/logs,experiment,6,779159,0,6,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/raw/drmaciver,experiment,1860,2723758,0,1860,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/raw/ipsns,experiment,1860,2964946,0,1860,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/scripts,experiment,15,180246,15,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/scripts/__pycache__,experiment,1,6331,0,1,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/smoke_archive/drmaciver,experiment,2,12213,1,1,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/smoke_archive/drmaciver/checkpoints,experiment,9,45,9,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/smoke_archive/drmaciver/raw,experiment,9,13012,9,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/summary,experiment,30,3359815,30,0,partial,yes,no,yes,low,retain,
experiments/exp10_stochastic_robustness/tables,experiment,10,41705,10,0,partial,yes,no,yes,low,retain,
experiments/exp11_topological_extraction_sensitivity,experiment,1,720,1,0,partial,yes,no,yes,low,retain,
experiments/exp11_topological_extraction_sensitivity/config,experiment,1,259,1,0,partial,yes,no,yes,low,retain,
experiments/exp11_topological_extraction_sensitivity/scripts,experiment,1,6785,1,0,partial,yes,no,yes,low,retain,
experiments/exp11_topological_extraction_sensitivity/summary,experiment,3,1936,3,0,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark,experiment,1,105915,0,1,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/configs,experiment,10,22068,10,0,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/diagnostics,experiment,1,6482,1,0,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/diagnostics/gr00,experiment,3,1091,2,1,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/diagnostics/gr10,experiment,3,19655,2,1,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/diagnostics/gr7,experiment,2,404,1,1,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/raw/full_benchmark/processed,experiment,1,60168,0,1,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/raw/full_benchmark/raw,experiment,315,2451819,0,315,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/raw/smoke_test/processed,experiment,1,1472,0,1,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/raw/smoke_test/raw,experiment,9,492,0,9,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/summary,experiment,3,61925,3,0,partial,yes,no,yes,low,retain,
experiments/exp1_core_benchmark/tables,experiment,1,22284,1,0,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed,experiment,1,8970,1,0,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/configs,experiment,5,16469,5,0,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/logs,experiment,1,74225,0,1,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/raw/full_benchmark/processed,experiment,1,64754,0,1,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/raw/full_benchmark/raw,experiment,315,2451819,0,315,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/raw/smoke_test/processed,experiment,1,1614,0,1,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/raw/smoke_test/raw,experiment,9,492,0,9,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/summary,experiment,3,65749,3,0,partial,yes,no,yes,low,retain,
experiments/exp1b_core_benchmark_full_wmsf_seed/tables,experiment,2,45583,2,0,partial,yes,no,yes,low,retain,
experiments/exp2_ablation,experiment,2,16569,2,0,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/configs,experiment,3,10554,3,0,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/logs,experiment,1,22341,0,1,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/best_seed_no_lns,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/ipsns_100iters,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/ipsns_50iters,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/ipsns_full,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/ipsns_no_scc_priority,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/lr_no_addback,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/lrta_full,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/raw/wmsf_seed,experiment,10,16059,0,10,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/summary,experiment,2,3089,2,0,partial,yes,no,yes,low,retain,
experiments/exp2_ablation/tables,experiment,1,2959,1,0,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small,experiment,1,11299,1,0,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/configs,experiment,2,4409,2,0,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/logs,experiment,1,37180,0,1,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad1,experiment,4,292,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad2,experiment,4,244,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad3,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad4,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad5,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad6,experiment,4,200,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/bad7,experiment,4,436,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete2,experiment,4,88,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete3,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete4,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete5,experiment,4,136,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete6,experiment,4,152,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete7,experiment,4,168,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete8,experiment,4,184,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/complete9,experiment,4,200,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/dene,experiment,4,88,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/example,experiment,4,412,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/example-bad1,experiment,4,136,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/example-bad2,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/example-bad3,experiment,4,136,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/example-rev,experiment,4,412,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/example.new,experiment,4,412,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gerez,experiment,3,90,0,3,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/good,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr-paper,experiment,4,200,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr0,experiment,4,72,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr00,experiment,4,17,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr1,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr1-acyclic,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr11,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr11d,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr12,experiment,4,136,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr13,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr14,experiment,4,88,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr2,experiment,4,88,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr3,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr4,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr4-shift,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr4-shift2,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr5,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr6,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr7,experiment,4,17,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr8,experiment,4,88,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/gr9,experiment,4,200,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/green,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/green3,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/green3nonzero,experiment,4,104,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/green4,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/howard-max,experiment,3,90,0,3,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/howard-min,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/k3_3,experiment,4,152,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/ku,experiment,4,152,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/peterson,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/peterson1,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/peterson2,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/present,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/r20_60,experiment,4,460,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/rd_10_30_1997,experiment,4,220,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/rd_4_4_90,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/rd_4_8_90,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/rd_5_10_90,experiment,4,136,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/sample,experiment,4,120,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/small,experiment,4,168,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/stg,experiment,4,460,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/stg0,experiment,3,138,0,3,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/raw/trace,experiment,4,268,0,4,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/summary,experiment,2,4908,2,0,partial,yes,no,yes,low,retain,
experiments/exp3_exact_small/tables,experiment,1,9099,1,0,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines,experiment,5,28337,5,0,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/configs,experiment,2,8188,2,0,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/Feedback-Arc-Set,experiment,20,105989,0,20,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/Feedback-Arc-Set/feedbackarcset,experiment,1,9697,0,1,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/Feedback-Arc-Set/notes,experiment,1,4289,0,1,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/Feedback-Arc-Set/scripts,experiment,1,600,0,1,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/Feedback-Arc-Set/testcases,experiment,76,4235655,0,76,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/Feedback-Arc-Set/testcases/hammerprinciple,experiment,432,6212228,0,432,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/fas-smartAE,experiment,14,406834,0,14,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/fas-smartAE/iscas,experiment,35,1325604,0,35,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/fas-smartAE/random,experiment,1869,7476636,0,1869,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/fas-smartAE/random-large,experiment,517,2593903,0,517,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/fas-smartAE/small-world,experiment,225,147227,0,225,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/external_tools/fas-smartAE/snap,experiment,14,39730093,0,14,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/logs,experiment,3,154354,0,3,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad1,experiment,8,584,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad2,experiment,8,488,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad3,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad4,experiment,8,440,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad5,experiment,8,440,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad6,experiment,8,400,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bad7,experiment,8,872,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/bigkey,experiment,8,275256,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete2,experiment,8,176,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete3,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete4,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete5,experiment,8,272,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete6,experiment,8,304,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete7,experiment,8,336,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete8,experiment,8,368,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/complete9,experiment,8,400,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/daio_receiver,experiment,8,137736,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/dene,experiment,8,176,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/dsip,experiment,8,308696,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/ecc,experiment,8,111816,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/example,experiment,8,824,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/example-bad1,experiment,8,272,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/example-bad2,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/example-bad3,experiment,8,272,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/example-rev,experiment,8,824,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/example.new,experiment,8,824,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gerez,experiment,7,210,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/good,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr-paper,experiment,8,400,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr0,experiment,8,144,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr00,experiment,7,7,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr1,experiment,8,440,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr1-acyclic,experiment,8,440,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr10,experiment,8,2216,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr11,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr11d,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr12,experiment,8,272,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr13,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr14,experiment,8,176,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr2,experiment,8,176,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr3,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr4,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr4-shift,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr4-shift2,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr5,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr6,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr7,experiment,7,7,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr8,experiment,8,176,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/gr9,experiment,8,400,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/green,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/green3,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/green3nonzero,experiment,8,208,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/green4,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/grid,experiment,8,62456,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/howard-max,experiment,7,210,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/howard-min,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/k3_3,experiment,7,266,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/ku,experiment,7,266,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/mm30a,experiment,8,147096,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/mm4a,experiment,8,9248,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/mm9a,experiment,8,38752,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/mm9b,experiment,8,48096,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/mult16a,experiment,8,17120,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/mult16b,experiment,8,19680,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/mult32a,experiment,8,34528,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/parker1986,experiment,8,205976,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/peterson,experiment,7,385,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/peterson1,experiment,7,385,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/peterson2,experiment,7,385,0,7,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/phase_decoder,experiment,8,116056,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/present,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/r1000,experiment,8,62312,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/r20_60,experiment,8,920,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/rd_1024_2048_1,experiment,8,64296,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/rd_10_30_1997,experiment,8,440,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/rd_4_4_90,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/rd_4_8_90,experiment,8,240,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/rd_5_10_90,experiment,8,272,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/rd_big,experiment,8,62376,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s1423,experiment,8,56992,0,8,partial,yes,no,yes,low,retain,
experiments/exp4_external_baselines/raw/s208,experiment,8,3944,0,8,partial,yes,no,yes,low,retain,
